"id","title","body","created_at","closed_at","days_to_close","issue_priority","milestone","author_name","user_atribute_to_resolve_issue","issue_classification"
233,"Replace blacklist/whitelist in torch/utils/mobile_optimizer.py","The goal of this issue is to replace all instances of *whitelist* and *blacklist* in `torch/utils/mobile_optimizer.py`. See issue #41443 for more information.","2020-07-20","2020-10-03","75","priorized",NULL,"SplitInfinity","SplitInfinity","OTHERS"
234,"Replace blacklist/whitelist in torch/jit/_recursive.py","The goal of this issue is to replace all instances of *whitelist* and *blacklist* in `torch/jit/_recursive.py`. See issue #41443 for more information.

cc @suo @gmagogsfm","2020-07-20","2020-07-20","0","priorized",NULL,"SplitInfinity","SplitInfinity","OTHERS"
235,"Replace blacklist/whitelist in torch/csrc/utils/python_arg_parser.cpp","The goal of this issue is to replace all instances of *whitelist* and *blacklist* in `torch/csrc/utils/python_arg_parser.cpp`. See issue #41443 for more information.","2020-07-20","2020-07-28","8","priorized",NULL,"SplitInfinity","SplitInfinity","OTHERS"
236,"Replace blacklist/whitelist in torch/csrc/jit/passes/xnnpack_rewrite.h","The goal of this issue is to replace all instances of *whitelist* and *blacklist* in `torch/csrc/jit/passes/xnnpack_rewrite.h`. See issue #41443 for more information.

cc @suo @gmagogsfm","2020-07-20","2020-07-20","0","priorized",NULL,"SplitInfinity","SplitInfinity","OTHERS"
237,"Replace blacklist/whitelist in torch/csrc/jit/python/init.cpp","The goal of this issue is to replace all instances of *whitelist* and *blacklist* in `torch/csrc/jit/python/init.cpp`. See issue #41443 for more information.

cc @suo @gmagogsfm","2020-07-20","2020-07-20","0","priorized",NULL,"SplitInfinity","SplitInfinity","OTHERS"
238,"Replace blacklist/whitelist in torch/csrc/jit/passes/xnnpack_rewrite.cpp","The goal of this issue is to replace all instances of *whitelist* and *blacklist* in `torch/csrc/jit/passes/xnnpack_rewrite.cpp`. See issue #41443 for more information.

cc @suo @gmagogsfm","2020-07-20","2020-07-20","0","priorized",NULL,"SplitInfinity","SplitInfinity","OTHERS"
239,"Replace blacklist/whitelist in tools/pyi/gen_pyi.py","The goal of this issue is to replace all instances of *whitelist* and *blacklist* in `tools/pyi/gen_pyi.py`. See issue #41443 for more information.","2020-07-20","2020-07-27","7","priorized",NULL,"SplitInfinity","SplitInfinity","OTHERS"
240,"Replace blacklist/whitelist in tools/jit/gen_unboxing_wrappers.py","The goal of this issue is to replace all instances of *whitelist* and *blacklist* in `tools/jit/gen_unboxing_wrappers.py`. See issue #41443 for more information.

cc @suo @gmagogsfm","2020-07-20","2020-07-20","0","priorized",NULL,"SplitInfinity","SplitInfinity","OTHERS"
241,"Replace blacklist/whitelist in tools/autograd/gen_python_functions.py","The goal of this issue is to replace all instances of *whitelist* and *blacklist* in `tools/autograd/gen_python_functions.py`. See issue #41443 for more information.","2020-07-20","2020-08-18","29","priorized",NULL,"SplitInfinity","SplitInfinity","OTHERS"
242,"Replace blacklist/whitelist in test/test_type_hints.py","The goal of this issue is to replace all instances of *whitelist* and *blacklist* in `test/test_type_hints.py`. See issue #41443 for more information.","2020-07-20","2020-07-21","1","priorized",NULL,"SplitInfinity","SplitInfinity","OTHERS"
243,"Replace blacklist/whitelist in test/test_mobile_optimizer.py","The goal of this issue is to replace all instances of *whitelist* and *blacklist* in `test/test_mobile_optimizer.py`. See issue #41443 for more information.","2020-07-20","2020-10-03","75","priorized",NULL,"SplitInfinity","SplitInfinity","OTHERS"
244,"Replace blacklist/whitelist in test/test_jit.py","The goal of this issue is to replace all instances of *whitelist* and *blacklist* in `test/test_jit.py`. See issue #41443 for more information.

cc @suo @gmagogsfm","2020-07-20","2020-07-20","0","priorized",NULL,"SplitInfinity","SplitInfinity","OTHERS"
245,"Replace blacklist/whitelist in docs/cpp/source/Doxyfile","The goal of this issue is to replace all instances of *whitelist* and *blacklist* in `docs/cpp/source/Doxyfile`. See issue #41443 for more information.","2020-07-20","2020-07-20","0","priorized",NULL,"SplitInfinity","SplitInfinity","OTHERS"
246,"Replace blacklist/whitelist in test/run_test.py","The goal of this issue is to replace all instances of *whitelist* and *blacklist* in `test/run_test.py`. See issue #41443 for more information.","2020-07-20","2020-07-28","8","priorized",NULL,"SplitInfinity","nomanarshad94","OTHERS"
247,"Replace blacklist/whitelist in cmake/public/cuda.cmake","The goal of this issue is to replace all instances of *whitelist* and *blacklist* in `cmake/public/cuda.cmake`. See issue #41443 for more information.","2020-07-20","2020-10-06","78","priorized",NULL,"SplitInfinity","REX51","OTHERS"
248,"Replace blacklist/whitelist in cmake/Modules_CUDA_fix/upstream/FindCUDA.cmake","The goal of this issue is to replace all instances of *whitelist* and *blacklist* in `cmake/Modules_CUDA_fix/upstream/FindCUDA.cmake`. See issue #41443 for more information.","2020-07-20","2021-02-18","213","priorized",NULL,"SplitInfinity","SplitInfinity","OTHERS"
249,"Replace blacklist/whitelist in caffe2/python/onnx/frontend.py","The goal of this issue is to replace all instances of *whitelist* and *blacklist* in `caffe2/python/onnx/frontend.py`. See issue #41443 for more information.","2020-07-20","2020-07-22","2","priorized",NULL,"SplitInfinity","SplitInfinity","OTHERS"
250,"Replace blacklist/whitelist in caffe2/python/pybind_state.cc","The goal of this issue is to replace all instances of *whitelist* and *blacklist* in `caffe2/python/pybind_state.cc`. See issue #41443 for more information.","2020-07-20","2020-08-18","29","priorized",NULL,"SplitInfinity","SplitInfinity","OTHERS"
251,"Replace blacklist/whitelist in caffe2/opt/custom/glow_net_transform.h","The goal of this issue is to replace all instances of *whitelist* and *blacklist* in `caffe2/opt/custom/glow_net_transform.h`. See issue #41443 for more information.","2020-07-20","2021-01-21","185","priorized",NULL,"SplitInfinity","admud","OTHERS"
252,"Replace blacklist/whitelist in caffe2/opt/custom/fakefp16_transform.cc","The goal of this issue is to replace all instances of *whitelist* and *blacklist* in `caffe2/opt/custom/fakefp16_transform.cc`. See issue #41443 for more information.","2020-07-20","2021-02-18","213","priorized",NULL,"SplitInfinity","Rubix982","OTHERS"
253,"Replace blacklist/whitelist in caffe2/opt/custom/glow_net_transform.cc","The goal of this issue is to replace all instances of *whitelist* and *blacklist* in `caffe2/opt/custom/glow_net_transform.cc`. See issue #41443 for more information.","2020-07-20","2021-01-21","185","priorized",NULL,"SplitInfinity","admud","OTHERS"
254,"Replace blacklist/whitelist in caffe2/opt/tvm_transformer.h","The goal of this issue is to replace all instances of *whitelist* and *blacklist* in `caffe2/opt/tvm_transformer.h`. See issue #41443 for more information.","2020-07-20","2020-09-18","60","priorized",NULL,"SplitInfinity","SplitInfinity","OTHERS"
255,"Replace blacklist/whitelist in caffe2/opt/onnxifi_transformer.h","The goal of this issue is to replace all instances of *whitelist* and *blacklist* in `caffe2/opt/onnxifi_transformer.h`. See issue #41443 for more information.","2020-07-20","2020-08-18","29","priorized",NULL,"SplitInfinity","admud","OTHERS"
256,"Replace blacklist/whitelist in caffe2/opt/tvm_transformer.cc","The goal of this issue is to replace all instances of *whitelist* and *blacklist* in `caffe2/opt/tvm_transformer.cc`. See issue #41443 for more information.","2020-07-20","2020-09-18","60","priorized",NULL,"SplitInfinity","SplitInfinity","OTHERS"
257,"Replace blacklist/whitelist in caffe2/opt/onnxifi_transformer.cc","The goal of this issue is to replace all instances of *whitelist* and *blacklist* in `caffe2/opt/onnxifi_transformer.cc`. See issue #41443 for more information.","2020-07-20","2020-08-18","29","priorized",NULL,"SplitInfinity","SplitInfinity","OTHERS"
258,"Replace blacklist/whitelist in caffe2/opt/backend_transformer_base.h","The goal of this issue is to replace all instances of *whitelist* and *blacklist* in `caffe2/opt/backend_transformer_base.h`. See issue #41443 for more information.","2020-07-20","2020-07-28","8","priorized",NULL,"SplitInfinity","SplitInfinity","OTHERS"
259,"Replace blacklist/whitelist in caffe2/onnx/onnx_exporter.h","The goal of this issue is to replace all instances of *whitelist* and *blacklist* in `caffe2/onnx/onnx_exporter.h`. See issue #41443 for more information.","2020-07-20","2020-07-31","11","priorized",NULL,"SplitInfinity","SplitInfinity","OTHERS"
260,"Replace blacklist/whitelist in caffe2/onnx/onnx_exporter.cc","The goal of this issue is to replace all instances of *whitelist* and *blacklist* in `caffe2/onnx/onnx_exporter.cc`. See issue #41443 for more information.","2020-07-20","2020-07-30","10","priorized",NULL,"SplitInfinity","SplitInfinity","OTHERS"
261,"Replace blacklist/whitelist in aten/src/ATen/native/cudnn/Conv.cpp","The goal of this issue is to replace all instances of *whitelist* and *blacklist* in `aten/src/ATen/native/cudnn/Conv.cpp`. See issue #41443 for more information.","2020-07-20","2020-07-27","7","priorized",NULL,"SplitInfinity","admud","OTHERS"
262,"Replace blacklist/whitelist in .jenkins/pytorch/dirty.sh","The goal of this issue is to replace all instances of *whitelist* and *blacklist* in `.jenkins/pytorch/dirty.sh`. See issue #41443 for more information.","2020-07-20","2020-07-20","0","priorized",NULL,"SplitInfinity","SplitInfinity","OTHERS"
263,"Remove torch/csrc/utils/future.h","We currently have two Future classes: https://github.com/pytorch/pytorch/blob/master/torch/csrc/utils/future.h#L29 and https://github.com/pytorch/pytorch/blob/master/aten/src/ATen/core/ivalue_inl.h#L222.

As part of the consolidation work for the Future, my impression was that we only use the latter and not the former. In that case, can we get rid of former? Or are there still a bunch of places that use `torch/csrc/utils/future.h`? If so, are we tracking this work in a separate task?

cc @ezyang @gchanan @zou3519 @bdhirsh @pietern @mrshenli @pritamdamania87 @zhaojuanmao @satgera @gqchen @aazzolini @rohan-varma @jjlilley @osalpekar @jiayisuse @agolynski @SciPioneer @H-Huang @mrzzd @xush6528","2020-07-17","2021-02-19","217","high priority",NULL,"Pritam Damania","rohan-varma","OTHERS"
264,"Replace blacklist/whitelist throughout the PyTorch codebase","## Goal
The goal of this issue is to track overall progress toward eliminating the use of the terms *whitelist* and *blacklist* from the PyTorch codebase. The recommended replacements for these terms are *allowlist* and *blocklist*, respectively. [See this numpy issue for more information.](https://github.com/numpy/numpy/pull/16669)

However, we should strive to use more specific and appropriate terms based on the context in which *whitelist* and *blacklist* are used. For example, if the code in question constructs a list of tests that are to be skipped and stores it into a variable called `test_blacklist`, `test_skiplist` would be a better choice than `test_blocklist`. But if there are no other options, *allowlist* and *blocklist* are the designated fallback terms.

## How To Help
1. Pick a file from the list below. Comment on the issue saying that you are working on it and assign it to yourself.
2. Work on your task. **Replace all instances of *blacklist* or *whitelist* as appropriate.** Submit a PR. **Make sure your PR complies with [the PyTorch code review values](https://github.com/pytorch/pytorch/wiki/Code-review-values)**.
3. Choose someone who is familiar with the code in question to review your PR. GitHub UI can help with this.
4. Merge your PR (or get someone from the team to merge it).

## Unexpected Issues
It is possible that a simple find-and-replace strategy will not work for some of the occurrences in the list below. A good example is `aten/src/ATen/gen.py`; this tool has command-line flags with `whitelist` in them that are consumed by other tools. We need to be more careful in these cases. For now, if you come across a case like this, leave a comment in the issue detailing your findings and edit this post to link the corresponding file to that issue or comment below.


## To-Do List

**Blacklist**
- [x] `.jenkins/pytorch/dirty.sh` (#41699)
- [x] `aten/src/ATen/native/cudnn/Conv.cpp` (#41700)
- [x] `caffe2/onnx/onnx_exporter.cc` (#41701)
- [x] `caffe2/onnx/onnx_exporter.h` (#41702)
- [x] `caffe2/opt/backend_transformer_base.h` (#41703)
- [x] `caffe2/opt/onnxifi_transformer.cc` (#41704)
- [x] `caffe2/opt/onnxifi_transformer.h` (#41705)
- [x] `caffe2/opt/tvm_transformer.cc` (#41706)
- [x] `caffe2/opt/tvm_transformer.h` (#41707)
- [ ] `caffe2/opt/custom/fakefp16_transform.cc` (#41708)
- [ ] `caffe2/opt/custom/glow_net_transform.cc` (#41709)
- [ ] `caffe2/opt/custom/glow_net_transform.h` (#41710)
- [x] `caffe2/python/pybind_state.cc` (#41711)
- [x] `caffe2/python/onnx/frontend.py` (#41712)
- [ ] `cmake/Modules_CUDA_fix/upstream/FindCUDA.cmake` (#41713)
- [ ] `cmake/public/cuda.cmake` (#41714)
- [x] `docs/cpp/source/Doxyfile` (#41715)
- [x] `test/run_test.py` (#41716)
- [x] `test/test_jit.py` (#41717)
- [x] `test/test_mobile_optimizer.py` (#41718)
- [x] `test/test_type_hints.py` (#41719)
- [x] `tools/autograd/gen_python_functions.py` (#41720)
- [x] `tools/jit/gen_unboxing_wrappers.py` (#41721)
- [x] `tools/pyi/gen_pyi.py` (#41722)
- [x] `torch/csrc/jit/passes/xnnpack_rewrite.cpp` (#41723)
- [x] `torch/csrc/jit/passes/xnnpack_rewrite.h` (#41724)
- [x] `torch/csrc/jit/python/init.cpp` (#41725)
- [x] `torch/csrc/utils/python_arg_parser.cpp` (#41726)
- [x] `torch/jit/_recursive.py` (#41727)
- [x] `torch/utils/mobile_optimizer.py` (#41728)
- [x] `torch/utils/hipify/hipify_python.py` (#41729)
- [x] `caffe2/onnx/onnx_exporter.h` (#41730)
- [x] `caffe2/opt/tvm_transformer.cc` (#41731)
- [ ] `caffe2/opt/custom/glow_net_transform.cc` (#41732)
- [x] `test/backward_compatibility/check_backward_compatibility.py` (#41733)
- [x] `caffe2/python/pybind_state.cc` (#41734)
- [x] `caffe2/python/onnx/onnxifi.py` (#41735)
- [ ] `torch/onnx/symbolic_helper.py` (#41736)
- [ ] `torch/onnx/symbolic_opset7.py` (#41737)
- [ ] `torch/onnx/symbolic_opset8.py` (#41738)

**Whitelist**
- [ ] `CMakeLists.txt` (#41739)
- [x] `.circleci/cimodel/data/simple/binary_smoketest.py` (#41740)
- [x] `.github/workflows/clang_format.yml` (#41741)
- [ ] `aten/src/ATen/gen.py` (#41742)
- [x] `caffe2/predictor/transforms.cc` (#41744)
- [x] `caffe2/transforms/common_subexpression_elimination.cc` (#41745)
- [x] `caffe2/transforms/common_subexpression_elimination.h` (#41746)
- [ ] `cmake/Codegen.cmake` (#41747)
- [x] `cmake/Whitelist.cmake` (#41748)
- [x] `test/test_namedtuple_return_api.py` (#41749)
- [x] `test/backward_compatibility/check_backward_compatibility.py` (#41750)
- [x] `test/quantization/test_quantized_op.py` (#41751)
- [x] `tools/clang_format_all.py` (#41752)
- [x] `tools/clang_format_ci.sh` (#41753)
- [x] `tools/code_analyzer/gen_op_registration_whitelist.py` (#41754)
- [x] `torch/jit/_script.py` (#41755)
- [x] `torch/quantization/default_mappings.py` (#41756)
- [x] `caffe2/CMakeLists.txt` (#41757)
- [x] `test/test_autograd.py` (#41758)
- [x] `torch/csrc/jit/passes/quantization/helper.cpp` (#41759)
- [x] `torch/csrc/jit/passes/lower_tuples.cpp` (#41761)
- [x] `torch/quantization/_numeric_suite.py` (#41762)
- [x] `torch/quantization/default_mappings.py` (#41763)
- [x] `torch/quantization/quantize.py` (#41764)","2020-07-14","2021-02-18","219","priorized",NULL,"SplitInfinity","SplitInfinity","OTHERS"
265,"GPU Skip decorators in common_distributed can misreport device information","## 🐛 Bug

In `common_distributed.py` we have some widely-used utilities that skip tests if there are not a certain number of GPUs. The problem, however, is that many of them rely on the following code: https://github.com/pytorch/pytorch/blob/master/torch/testing/_internal/common_distributed.py#L30 which hardcodes the error message as ""Need at least 2 CUDA devices"", but functions such a `skip_if_lt_x_gpu(x)` can be invoked with an arbitrary # of GPUs. We should enhance this test-skipping logic so that the correct no. of GPUs needed is reported when a test is skipped. Currently, it is quite confusing to get an error message such as ""Need at least 2 CUDA devices"" when you're running on (for example) a 4-GPU machine.



cc @pietern @mrshenli @pritamdamania87 @zhaojuanmao @satgera @rohan-varma @gqchen @aazzolini @xush6528 @osalpekar @jiayisuse @agolynski","2020-07-13","2020-08-26","44","priorized",NULL,"Rohan Varma","rohan-varma","SOFTWARE ARCHITECTURE, PROJECT PATTERNS"
266,"torch.distributed NCCL backend does not support bitwise reduction ops","## 🐛 Bug

The documentation at https://pytorch.org/docs/stable/distributed.html specifies that BAND, BOR, BXOR are supported reduction operators, however, they do not work with `all_reduce` using the NCCL backend.

We can see in the [code](https://github.com/pytorch/pytorch/blob/c451ddaeda3e58d0f51d4026add4de1b3cf9657d/torch/lib/c10d/ProcessGroupNCCL.cpp#L39) that there is no mapping for the bitwise operators, and we [use this mapping](https://github.com/pytorch/pytorch/blob/c451ddaeda3e58d0f51d4026add4de1b3cf9657d/torch/lib/c10d/ProcessGroupNCCL.cpp#L744) to get the nccl operation to run. What happens when the mapping is not specified is that the map attempts to default construct a `ncclRedOp_t` type (https://docs.nvidia.com/deeplearning/nccl/user-guide/docs/api/types.html#ncclredop-t) and ends up incorrectly mapping these reduction types to `ncclSum`. This will mean that if we use these bitwise reduction ops we will just end up doing a sum. 

cc @pietern @mrshenli @pritamdamania87 @zhaojuanmao @satgera @rohan-varma @gqchen @aazzolini @xush6528 @osalpekar @jiayisuse @agolynski","2020-07-13","2020-08-07","25","priorized",NULL,"Rohan Varma","rohan-varma","OTHERS"
267,"In DDP's reducer merge `work` and `future_work`","DDP main structure communication hook #40848 uses separate `bucket.work` and `bucket.future_work`. These use async works `ProcessGroup::Work` and `jit::Future`, respectively.
https://github.com/pytorch/pytorch/blob/45d735208b29aaa9dcfdf4d2b426c219866a8097/torch/csrc/distributed/c10d/reducer.cpp#L592-L596

We will replace `work` by `future_work` and use `AllreduceHook` by default once `get_future` API is supported by Gloo, see #42048 . There is a PR for this issue (#41840) that can be merged `get_future` API after Gloo support and review.

NOTE: This can be done after https://github.com/pytorch/pytorch/issues/42048 is addressed.

cc @pietern @mrshenli @pritamdamania87 @zhaojuanmao @satgera @gqchen @aazzolini @rohan-varma @xush6528 @jjlilley @osalpekar @jiayisuse","2020-07-10","2021-06-08","333","priorized",NULL,"Sinan Nasir","wayi1","OTHERS"
268,"torch/library.h bad error message when registering with explicit namespace","```
  what():  1Explicitly provided namespace (torchvision) in schema string does not match namespace of enclosing TORCH_LIBRARY block (torchvision).  Move this definition to the (unique) TORCH_LIBRARY block corresponding to this namespace (and consider deleting the namespace from your schema string.)  (Error occurred while processing TORCH_LIBRARY block at /data/users/ezyang/vision/torchvision/csrc/vision.cpp:45)
```

I got this with

```
TORCH_LIBRARY(torchvision, m) {
  m.def(""torchvision::nms"", &nms);
  m.def(""torchvision::roi_align(Tensor input, Tensor rois, float spatial_scale, int pooled_height, int pooled_width, int sampling_ratio, bool aligned) -> Tensor"",
      &roi_align);
  m.def(""torchvision::roi_pool"", &roi_pool);
  m.def(""torchvision::_new_empty_tensor_op"", &new_empty_tensor);
  m.def(""torchvision::ps_roi_align"", &ps_roi_align);
  m.def(""torchvision::ps_roi_pool"", &ps_roi_pool);
  m.def(""torchvision::deform_conv2d"", &deform_conv2d);
  m.def(""torchvision::_cuda_version"", &_cuda_version);
}
```","2020-06-29","2020-07-01","2","priorized",NULL,"Edward Z. Yang","Edward Z. Yang","PROJECT PATTERNS"
269,"Improve error reporting in ""Check for no AVX instruction by default""","When AVX/AVX2 instruction is encountered while running `basic` unit test, qemu segfaults, which does give developer a good idea why the test have failed.
This could be improved by re-running `qemu` with gdbserver and printing a backtrace + instruction that caused the failure. This can be done by modifying
https://github.com/pytorch/pytorch/blob/a80dd02a224ea0f2c9582f428bc12d4579deaa92/.circleci/verbatim-sources/job-specs/pytorch-job-specs.yml#L135 
To something along the following lines:
```
$ qemu-x86_64 -g 2345 -cpu Broadwell -E ATEN_CPU_CAPABILITY=default ./basic --gtest_filter=BasicTest.BasicTestCPU &
$ gdb ./basic -ex ""target remote :2345"" -ex ""continue"" -ex ""bt""
```

How to test that the change:
Add global AVX variable to any .cpp file, for example:
```
const __m256i foobar = _mm256_set_epi32(0x01, 0x02, 0x03, 0x04, 0x05, 0x06, 0x07, 0x08);
```

","2020-06-19","2020-07-06","17","priorized",NULL,"Nikita Shulga","RockingJavaBean","PROJECT PATTERNS"
270,"Expose rpc._wait_all_workers as rpc.barrier","RPC uses `_wait_all_workers` as a barrier to do graceful shutdown. This might be a useful feature to applications as well, i.e., we can have `rpc.barrier()` for RPC and `dist.barrier()` for c10d. 

Note that this is different from #40107:

* The `rpc.barrier()` only makes sure that all workers reach the same point, while there could still be on-going concurrent execution in other RPC threads to satisfy futures created by the main thread. 
* The context manager collects and waits for all futures created in scope, but does not communicate with other workers.

https://github.com/pytorch/pytorch/blob/3fb1e73a4e928a0452c3b73ca6815f67127424e9/torch/distributed/rpc/api.py#L137-L198

cc @ezyang @gchanan @zou3519 @bdhirsh @jbschlosser @pietern @mrshenli @pritamdamania87 @zhaojuanmao @satgera @gqchen @aazzolini @rohan-varma @jjlilley @osalpekar @jiayisuse @agolynski @SciPioneer @H-Huang @mrzzd @cbalioglu @xush6528","2020-06-17","2021-06-02","350","high priority",NULL,"mrshenli","rohan-varma","SOFTWARE ARCHITECTURE, PROJECT PATTERNS"
271,"C API pollutes the global namespace","## 🐛 Bug

`libtorch/include/c10/util/logging_is_not_google_glog.h` exposes `ERROR`, `FATAL`, etc in the global namespace.
This is included by `torch/script.h`.

This causes the conflict with a user code.

## Expected behavior

Put them in some namespace.

## Environment

build-hash: 4ff3872a2099993bf7e...
build-version: 1.5.0+cpu


cc @malfet @yf225 @glaringlee","2020-06-16","2020-06-24","8","priorized",NULL,"elbaro","hikatech","OTHERS"
272,"RPC package should provide a backend-agnostic helper to verify names/ids","In OSS, ProcessGroup RPC backend verifies all worker names are distinct and uses ranks as ids. So that wrong name-to-id mapping will be spotted at construction time. However, for other RPC backend without collective communication capabilities, it is not that easy to gather all information from all workers and check their correctness. 

An alternative is to let `torch.distributed.rpc` provide a backend-agnostic helper to check all worker names using `c10d::Store`, and assign ids using the `c10d::Store`. This should help prevent applications from introducing unintentional mapping errors.

cc @ezyang @gchanan @zou3519 @bdhirsh @jbschlosser @pietern @mrshenli @pritamdamania87 @zhaojuanmao @satgera @gqchen @aazzolini @rohan-varma @jjlilley @osalpekar @jiayisuse @agolynski @SciPioneer @H-Huang @mrzzd @cbalioglu @xush6528","2020-06-15","2021-03-07","265","high priority",NULL,"mrshenli","kiukchung","OTHERS"
273,"Distributed RPC profiling should support record_shapes","## 🚀 Feature
We currently don't carry over the `record_shapes` flag and return the recorded shapes over RPC when we remotely invoke the profiler, we should add support for this for parity with regular profiling.

cc @pietern @mrshenli @pritamdamania87 @zhaojuanmao @satgera @gqchen @aazzolini @rohan-varma @xush6528 @jjlilley @osalpekar @jiayisuse","2020-06-12","2020-09-26","106","priorized",NULL,"Rohan Varma","Rohan Varma","OTHERS"
274,"Add repr for torch.distributed.rpc.WorkerInfo","## 🚀 Feature
Currently [torch.distributed.rpc.WorkerInfo] does not have a str/repr function, which means that:
```
current_node = rpc.api.get_worker_info()
print(current_node)
```
does not show relevant information about the current node such as Name and Id. This would be 
useful to have for debug purposes. It could look like

```
>> current_node = rpc.api.get_worker_info()
>> print(current_node)
>> ""RPC worker with name {name} and id {id}""
```

This will speed up and improve the experience of debugging RPC-related issues.

cc @pietern @mrshenli @pritamdamania87 @zhaojuanmao @satgera @gqchen @aazzolini @rohan-varma @xush6528 @jjlilley @osalpekar","2020-06-12","2020-06-15","3","low priority",NULL,"Rohan Varma","Rohan Varma","PROJECT PATTERNS"
275,"RPC should destroy/deinitialize dist autograd container when rpc is shutdown","## 🚀 Feature/Enhnacement

During RPC initialization, each participating process initializes a singleton `DistAutogradContainer`. During shutdown, we cleanup items such as the RRef context and RPC agent, but do not reset this singleton dist autograd container. This prevents RPC from being reinitialized (i.e. a group of processes cannot call `rpc.shutdown() ; dist.barrier() ; rpc.init_rpc(...)`. It will fail with the following error:

```
/test/distributed/rpc/faulty_agent/rpc_spawn_faulty#binary,link-tree
/torch/distributed/rpc/__init__.py"", line 85, in init_rpc
>     dist_autograd._init(rank)
> RuntimeError: Container is already initialized! Cannot initialize it twice!
```

## Motivation
I was looking into seeing if we could reuse spawned subprocesses across our RPC tests, which would decrease the amount of time it takes to run the RPC test suite; however, this would require processes to be able to re-init RPC, which is blocked by this error. Also, I was writing a set of similar tests in https://github.com/pytorch/pytorch/pull/38590, and wanted to use this pattern to reduce code duplication, but couldn't (the tests need to use different initializations of RPC since they test the RRef deletion behavior triggered by the shutdown sequence). 

## Pitch
I don't know if we necessarily need to destroy the container, maybe we could just de-initialize it, and then re-init if RPC is being started back up again.

cc @pietern @mrshenli @pritamdamania87 @zhaojuanmao @satgera @gqchen @aazzolini @rohan-varma @xush6528 @jjlilley @osalpekar","2020-06-01","2020-08-24","84","priorized",NULL,"Rohan Varma","Rohan Varma","OTHERS"
276,"Remove all self.assertEqualIgnoreTypes instances","As `self.assertEqual` now compares tensor's dtypes as well as values, there are some number of tests which are unhappy with it. So we temporarily replaced such cases of `self.assertEqual` with `self.assertEqualIgnoreTypes`. 

However it is temporary measure, as `self.assertEqualIgnoreTypes` calls need to be reviewed on case-by-case basis and replaced with `self.assertEqual` calls and proper dtypes or `self.assertEqual` with `exact_dtype=False` wherever it is not possible by design.

All this tasks are searchable by: `TODO(#38095)` after landing of #38102

cc @mruberry","2020-05-07","2022-12-15","952","priorized",NULL,"Vitaly Fedyunin","kit1980","OTHERS"
